央视频道,#genre# 
劲爆体育,https://live.v1.mk/api/bestv.php?id=jbtyhd8m/8000000#http://117.184.239.60/liveplay-kk.rtxapp.com/live/program/live/jbtyhd8m/8000000/mnf.m3u8
足球高清,https://live.v1.mk/api/bestv.php?id=zqpd8m/8000000#http://117.184.239.60/liveplay-kk.rtxapp.com/live/program/live/zqpd8m/8000000/mnf.m3u8
超级体育,https://live.v1.mk/api/bestv.php?id=qcsj8m/8000000#http://117.184.239.60/liveplay-kk.rtxapp.com/live/program/live/qcsj8m/8000000/mnf.m3u8
新视觉,https://live.v1.mk/api/bestv.php?id=xsjhd8m/8000000#http://117.184.239.60/liveplay-kk.rtxapp.com/live/program/live/xsjhd8m/8000000/mnf.m3u8
游戏风云,https://live.v1.mk/api/bestv.php?id=yxfy8m/800000#http://117.184.239.60/liveplay-kk.rtxapp.com/live/program/live/yxfy8m/8000000/mnf.m3u8
华丽翡翠台,http://r.jdshipin.com/thuYX
超高清频道,#genre# 
4K超高清电影,http://159.75.85.63:5681/sxg.php
4K影视,http://159.75.85.63:5828/4kys.php
Fashion4K,https://fash2043.cloudycdn.services/slive/ftv_ftv_4k_hevc_73d_42080_default_466_hls.smil/playlist.m3u8
CCTV-4K,https://live.v1.mk/api/bestv.php?id=cctv4k/15000000#http://159.75.85.63:5679/cctv4k.php
爱上4K,http://111.20.40.170/PLTV/88888893/224/3221226352/index.m3u8#http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226352/index.m3u8
欢笑剧场4k,https://live.v1.mk/api/bestv.php?id=hxjc4k/15000000#http://159.75.85.63:5681/sxg.php?id=hxjc-4k_8000
移动4K测试,http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000665/index.m3u8

